


商品名称 ：铜                  2018-02-23,
会员类别,总成交量,比上交易日增减,会员类别,总持买单量,比上交易日增减,会员类别,总持卖单量,比上交易日增减,
期货公司  ,576741,393716,期货公司  ,397072,13177,期货公司  ,398582,12506,
非期货公司,1215,-666,非期货公司,6420,-15,非期货公司,4910,656,
合约代码 ：cu1803                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,9731,5761,1,金瑞期货  ,13718,-1877,1,金瑞期货  ,8219,-130,
2,东证期货  ,7575,1913,2,五矿经易  ,3519,-219,2,五矿经易  ,7119,-549,
3,上海中期  ,4531,3153,3,华安期货  ,3224,339,3,海通期货  ,3874,-219,
4,鲁证期货  ,4491,2698,4,中信期货  ,2973,-195,4,中信期货  ,3737,-1270,
5,中融汇信  ,4197,2875,5,国泰君安  ,1921,59,5,国贸期货  ,3571,-1334,
6,中信期货  ,3711,2574,6,弘业期货  ,1650,-303,6,建信期货  ,3088,-105,
7,金瑞期货  ,3681,1941,7,广发期货  ,1384,36,7,国投安信  ,2785,-127,
8,国投安信  ,3627,2466,8,建信期货  ,1321,5,8,中粮期货  ,2469,-3,
9,国泰君安  ,2781,674,9,银河期货  ,1319,-442,9,中银国际  ,2177,137,
10,铜冠金源  ,2229,1142,10,永安期货  ,1200,-294,10,国泰君安  ,2008,-274,
11,国贸期货  ,1814,1544,11,中粮期货  ,912,-120,11,方正中期  ,1924,-404,
12,华安期货  ,1701,1467,12,迈科期货  ,891,-234,12,格林大华  ,1660,-680,
13,中辉期货  ,1321,872,13,中信建投  ,876,53,13,一德期货  ,1424,-128,
14,五矿经易  ,1312,679,14,一德期货  ,853,-185,14,迈科期货  ,1423,3,
15,宏源期货  ,1304,846,15,上海大陆  ,843,-142,15,铜冠金源  ,1067,-75,
16,华泰期货  ,1277,489,16,铜冠金源  ,837,-234,16,中钢期货  ,960,-102,
17,广发期货  ,1165,1085,17,兴证期货  ,820,-23,17,广发期货  ,904,55,
18,银河期货  ,1126,713,18,东吴期货  ,798,-603,18,混沌天成  ,815,0,
19,南华期货  ,1117,860,19,南华期货  ,781,-769,19,宏源期货  ,805,-15,
20,国富期货  ,1043,927,20,方正中期  ,778,-79,20,鲁证期货  ,792,-73,
合计,,59734,34679,合计,,40618,-5227,合计,,50821,-5293,
合约代码 ：cu1804                        2018-02-23,
名次,期货公司会员简称,成交量,比上交易日增减,名次,期货公司会员简称,持买单量,比上交易日增减,名次,期货公司会员简称,持卖单量,比上交易日增减/变化,
1,海通期货  ,20992,11090,1,金瑞期货  ,10348,642,1,中信期货  ,15186,1155,
2,东证期货  ,18567,9525,2,中信期货  ,5891,-548,2,金瑞期货  ,6978,1332,
3,中融汇信  ,14862,11239,3,铜冠金源  ,4958,-573,3,五矿经易  ,5930,181,
4,中信期货  ,13947,9534,4,国泰君安  ,4929,-587,4,混沌天成  ,5104,6,
5,国投安信  ,13630,7413,5,永安期货  ,4770,-1211,5,海通期货  ,3946,373,
6,上海中期  ,11554,9437,6,五矿经易  ,4291,316,6,建信期货  ,3615,88,
7,鲁证期货  ,9364,5563,7,弘业期货  ,3256,-603,7,一德期货  ,3504,225,
8,永安期货  ,8775,7780,8,海通期货  ,3127,391,8,永安期货  ,3148,378,
9,华泰期货  ,8073,6256,9,国贸期货  ,2958,-205,9,国泰君安  ,3018,16,
10,兴证期货  ,6386,4059,10,方正中期  ,2865,-2,10,迈科期货  ,2929,-38,
11,国泰君安  ,6339,3252,11,迈科期货  ,2375,-214,11,国投安信  ,2896,59,
12,铜冠金源  ,5514,3656,12,一德期货  ,2211,-46,12,宏源期货  ,2888,112,
13,五矿经易  ,5453,3831,13,银河期货  ,2010,328,13,银河期货  ,2685,-408,
14,银河期货  ,5050,3905,14,华泰期货  ,1960,890,14,格林大华  ,2625,268,
15,国富期货  ,4488,2201,15,中钢期货  ,1869,-211,15,东海期货  ,2610,454,
16,中辉期货  ,4083,1910,16,同信久恒  ,1833,550,16,华安期货  ,2527,-55,
17,徽商期货  ,3792,2919,17,建信期货  ,1818,-19,17,广发期货  ,2438,-173,
18,宏源期货  ,3759,2152,18,广发期货  ,1721,20,18,中粮期货  ,1891,13,
19,金瑞期货  ,3690,1119,19,东吴期货  ,1593,76,19,华泰期货  ,1872,143,
